"REO","RESBP","EE","PE","RESAP","CEG"
2.125,3.714,2.5,3.714,4,3.138
3.5,3.286,4,3.714,2.667,3.483
3.25,2,3.75,4.143,2.667,3.172
2.125,2.286,1,4.286,4.667,2.793
3.5,3.571,4.75,4.286,4,3.931
3.375,2.286,3,3.571,3.333,3.103
3.125,3.286,1.75,4.714,4.667,3.517
4.375,2.571,3.25,4.429,3,3.655
3.875,2.143,1,4.714,4,3.276
2.75,3,3.75,3.286,2.667,3.069
3.875,4.143,2.75,2.429,3.667,3.414
3.875,3.429,1,4.429,2.667,3.379
3.375,1.429,2.25,3.571,3,2.759
3.5,3.714,4.5,4.143,3,3.793
4.875,5,5,5,4.333,4.897
4.625,4.286,3.75,5,4,4.448
4.625,4.429,5,4.714,4.667,4.655
3.625,3.429,4.25,4.429,3.667,3.862
3.75,2.286,3,4.143,3,3.31
4.625,4.286,4,5,3,4.379
4,2.571,4.75,4.429,3.333,3.793
5,2.857,5,5,1.667,4.138
3.125,3.429,3.75,4,3.667,3.552
5,4.429,4,5,4.667,4.69
3.75,4.571,3.75,4.143,4.333,4.103
5,3.857,4.5,4.429,5,4.517
2.75,2.429,2.5,2,3.667,2.552
3.125,4,4,4,3.667,3.724
1.5,1.714,4,4.143,2.333,2.621
3.625,4.286,4.25,4.857,4.667,4.276
1.125,1.714,2,1.857,1.667,1.621
3.5,2.714,3.25,4,3.667,3.414
4.125,3.714,3,5,5,4.172
3.25,3.857,4.25,4,4,3.793
4.25,4.714,2,4.714,3.333,4.069
4.25,2.571,2.25,4.286,4.333,3.586
2.625,1.714,3.25,4.714,4.667,3.207
3.125,1.429,2.75,4.286,1.333,2.759
3,3.429,4.75,4,3.333,3.621
2.5,1.571,3.25,2.571,2.333,2.379
4,4.714,3,4.286,5,4.207
4.5,4.143,4.5,4.571,4,4.379
4,4.714,4.25,4.286,4,4.276
4.125,4.571,3.5,3.857,3.667,4.034
3.5,4.857,4,4,4,4.069
2.375,1.143,2,4,3,2.483
1.25,1,4,2.143,2.333,1.897
4.25,2.429,2.5,4.714,3.667,3.621
4.125,4.143,4.5,4.429,4.667,4.31
4.375,3.286,4.5,5,4,4.241
3,3,3,3,3,3
3.75,2.714,5,4.571,1.667,3.655
4.25,3,3.25,4.714,3.667,3.862
4,3.714,4,4,3,3.828
3.5,3.143,3.75,3.571,3.333,3.448
3.25,3.857,4,3.857,4,3.724
4.625,4,3.25,4.429,5,4.276
3.25,3.286,3.25,3.429,4,3.379
4.125,3,4.5,4,3.667,3.828
4.75,3.571,5,5,3.333,4.414
2.625,2.429,1.75,3.714,4,2.862
3.375,3.429,3.5,3.857,3.333,3.517
4.375,3.143,2.5,4.714,3.333,3.793
3.875,3.286,3.5,4.571,4,3.862
2.75,2.429,3,3.857,1.667,2.862
